batter,runs_batter,balls_faced,batting_avg
A Ashish Reddy,280,193,1.450777202072539
A Badoni,904,662,1.365558912386707
A Chandila,4,7,0.5714285714285714
A Chopra,53,71,0.7464788732394366
A Choudhary,25,20,1.25
A Dananjaya,4,5,0.8
A Flintoff,62,53,1.169811320754717
A Kamboj,16,14,1.1428571428571428
A Kumble,35,47,0.7446808510638298
A Manohar,292,235,1.2425531914893617
A Mhatre,240,127,1.889763779527559
A Mishra,381,419,0.9093078758949881
A Mithun,34,26,1.3076923076923077
A Mukund,19,22,0.8636363636363636
A Nehra,41,62,0.6612903225806451
A Nortje,49,49,1.0
A Raghuvanshi,463,320,1.446875
A Singh,2,10,0.2
A Symonds,974,750,1.2986666666666666
A Tomar,4,8,0.5
A Uniyal,4,7,0.5714285714285714
A Zampa,15,24,0.625
AA Bilakhia,69,85,0.8117647058823529
AA Chavan,12,11,1.0909090909090908
AA Jhunjhunwala,217,210,1.0333333333333334
AA Kulkarni,9,8,1.125
AA Noffke,9,10,0.9
AB Agarkar,179,154,1.1623376623376624
AB Barath,42,42,1.0
AB Dinda,26,48,0.5416666666666666
AB McDonald,123,100,1.23
AB de Villiers,5114,3362,1.5211183819155265
AC Blizzard,120,90,1.3333333333333333
AC Gilchrist,2069,1495,1.3839464882943144
AC Thomas,20,19,1.0526315789473684
AC Voges,181,143,1.2657342657342658
AD Hales,148,118,1.2542372881355932
AD Mascarenhas,79,78,1.0128205128205128
AD Mathews,723,572,1.263986013986014
AD Nath,90,98,0.9183673469387755
AD Russell,2655,1525,1.740983606557377
AF Milne,23,29,0.7931034482758621
AG Murtaza,10,14,0.7142857142857143
AG Paunikar,49,58,0.8448275862068966
AJ Finch,2092,1635,1.2795107033639144
AJ Hosein,16,10,1.6
AJ Turner,24,28,0.8571428571428571
AJ Tye,91,76,1.1973684210526316
AK Markram,1440,1066,1.3508442776735459
AL Menaria,401,356,1.1264044943820224
AM Nayar,672,577,1.1646447140381282
AM Rahane,5032,4025,1.2501863354037268
AN Ahmed,36,26,1.3846153846153846
AN Ghosh,7,8,0.875
AP Dole,34,22,1.5454545454545454
AP Majumdar,87,76,1.144736842105263
AP Tare,339,273,1.2417582417582418
AR Bawne,12,12,1.0
AR Patel,1910,1423,1.3422347153900211
AS Joseph,27,32,0.84375
AS Rajpoot,26,41,0.6341463414634146
AS Raut,194,167,1.1616766467065869
AS Roy,26,25,1.04
AS Yadav,49,39,1.2564102564102564
AT Carey,32,29,1.103448275862069
AT Rayudu,4348,3409,1.2754473452625403
AU Rashid,22,16,1.375
AUK Pathan,39,23,1.6956521739130435
Abdul Basith,1,1,1.0
Abdul Samad,743,490,1.5163265306122449
Abdur Razzak,0,2,0.0
Abhishek Sharma,1816,1114,1.6301615798922802
Abishek Porel,653,431,1.5150812064965198
Akash Deep,25,14,1.7857142857142858
Akash Madhwal,8,14,0.5714285714285714
Aman Hakim Khan,115,104,1.1057692307692308
Aniket Verma,236,142,1.6619718309859155
Anirudh Singh,63,66,0.9545454545454546
Ankit Sharma,87,67,1.2985074626865671
Ankit Soni,7,9,0.7777777777777778
Anmolpreet Singh,139,115,1.208695652173913
Anuj Rawat,318,267,1.1910112359550562
Anureet Singh,36,47,0.7659574468085106
Arjun Tendulkar,13,9,1.4444444444444444
Arshad Khan,119,84,1.4166666666666667
Arshad Khan (2),5,4,1.25
Arshdeep Singh,31,46,0.6739130434782609
Ashutosh Sharma,352,214,1.644859813084112
Atharva Taide,260,177,1.4689265536723164
Avesh Khan,62,37,1.6756756756756757
Azhar Mahmood,388,303,1.2805280528052805
Azmatullah Omarzai,99,74,1.337837837837838
B Akhil,76,55,1.3818181818181818
B Chipli,280,251,1.1155378486055776
B Indrajith,21,30,0.7
B Kumar,320,351,0.9116809116809117
B Laughlin,5,13,0.38461538461538464
B Lee,124,97,1.2783505154639174
B Sai Sudharsan,1793,1229,1.4589096826688364
B Stanlake,5,2,2.5
B Sumanth,35,37,0.9459459459459459
BA Bhatt,6,7,0.8571428571428571
BA Stokes,935,698,1.339541547277937
BAW Mendis,3,6,0.5
BB McCullum,2882,2190,1.3159817351598173
BB Samantray,125,113,1.1061946902654867
BB Sran,10,14,0.7142857142857143
BCJ Cutting,238,141,1.6879432624113475
BE Hendricks,1,3,0.3333333333333333
BJ Haddin,18,11,1.6363636363636365
BJ Hodge,1400,1118,1.2522361359570662
BJ Rohrer,193,141,1.3687943262411348
BKG Mendis,20,10,2.0
BMAJ Mendis,23,27,0.8518518518518519
BR Dunk,40,35,1.1428571428571428
BR Sharath,2,5,0.4
Basil Thampi,32,35,0.9142857142857143
Bipul Sharma,187,123,1.5203252032520325
C Bosch,47,32,1.46875
C Green,707,460,1.5369565217391303
C Madan,15,19,0.7894736842105263
C Munro,177,141,1.2553191489361701
C Nanda,0,1,0.0
C Sakariya,20,31,0.6451612903225806
C de Grandhomme,303,225,1.3466666666666667
CA Ingram,192,168,1.1428571428571428
CA Lynn,1329,945,1.4063492063492065
CA Pujara,390,391,0.9974424552429667
CH Gayle,4986,3337,1.4941564279292778
CH Morris,618,398,1.5527638190954773
CJ Anderson,538,423,1.2718676122931443
CJ Ferguson,98,117,0.8376068376068376
CJ Jordan,81,77,1.051948051948052
