match_id,batter,runs_batter,balls_faced
335982,AA Noffke,9,10
335982,B Akhil,0,2
335982,BB McCullum,158,73
335982,CL White,6,10
335982,DJ Hussey,12,12
335982,JH Kallis,8,7
335982,MV Boucher,7,9
335982,Mohammad Hafeez,5,3
335982,P Kumar,18,15
335982,R Dravid,2,3
335982,RT Ponting,20,20
335982,SB Joshi,3,6
335982,SC Ganguly,10,12
335982,V Kohli,1,5
335982,W Jaffer,6,16
335982,Z Khan,3,8
335983,IK Pathan,3,5
335983,JDP Oram,13,10
335983,JR Hopes,71,33
335983,K Goel,24,19
335983,KC Sangakkara,54,33
335983,MEK Hussey,116,54
335983,ML Hayden,25,17
335983,MS Dhoni,2,3
335983,PA Patel,15,10
335983,S Badrinath,31,14
335983,SK Raina,32,13
335983,SM Katich,21,17
335983,Yuvraj Singh,23,13
335984,D Salunkhe,26,20
335984,DS Lehmann,1,2
335984,G Gambhir,58,46
335984,M Kaif,9,19
335984,M Rawat,2,4
335984,RA Jadeja,29,23
335984,S Dhawan,52,41
335984,SK Trivedi,3,7
335984,SK Warne,14,13
335984,SR Watson,21,15
335984,T Kohli,7,12
335984,V Sehwag,12,4
335984,YK Pathan,10,5
335985,AM Nayar,20,14
335985,B Akhil,3,5
335985,DJ Thornely,0,5
335985,Harbhajan Singh,2,2
335985,JH Kallis,25,24
335985,L Ronchi,8,10
335985,LRPL Taylor,23,12
335985,MV Boucher,39,19
335985,PR Shah,19,23
335985,R Dravid,32,33
335985,RV Uthappa,48,38
335985,S Chanderpaul,16,11
335985,SM Pollock,28,12
335985,ST Jayasuriya,29,16
335985,V Kohli,23,14
335986,A Symonds,32,39
335986,AC Gilchrist,23,22
335986,AS Yadav,10,10
335986,BB McCullum,5,5
335986,DJ Hussey,38,43
335986,LR Shukla,4,6
335986,Mohammad Hafeez,13,13
335986,RG Sharma,0,3
335986,RP Singh,1,2
335986,RT Ponting,0,1
335986,SB Bangar,14,10
335986,SB Styris,6,7
335986,SC Ganguly,14,30
335986,VVS Laxman,0,6
335986,WP Saha,10,17
335986,WPUJC Vaas,0,1
335986,Y Venugopal Rao,14,14
335987,B Lee,0,2
335987,DPMD Jayawardene,2,4
335987,DS Lehmann,17,16
335987,IK Pathan,12,19
335987,JR Hopes,16,16
335987,K Goel,26,21
335987,KC Sangakkara,20,8
335987,Kamran Akmal,15,10
335987,M Kaif,5,8
335987,PP Chawla,24,11
335987,RA Jadeja,36,25
335987,S Sohal,4,4
335987,SR Watson,76,49
335987,WA Mota,1,1
335987,YK Pathan,7,5
335987,Yuvraj Singh,57,34
335988,A Symonds,12,13
335988,AC Gilchrist,8,9
335988,AS Yadav,12,7
335988,G Gambhir,12,9
335988,RG Sharma,66,36
335988,RP Singh,1,1
335988,S Dhawan,25,28
335988,SB Bangar,8,14
335988,Shahid Afridi,2,7
335988,V Sehwag,94,41
335988,VVS Laxman,2,6
335988,WPUJC Vaas,12,6
335988,Y Venugopal Rao,14,22
335989,A Nehra,1,2
335989,AM Nayar,45,20
335989,DJ Bravo,24,16
335989,Harbhajan Singh,28,14
335989,JDP Oram,5,2
335989,L Ronchi,2,3
335989,MA Khote,9,5
335989,MEK Hussey,5,9
335989,ML Hayden,81,46
335989,MS Dhoni,30,16
335989,PA Patel,14,11
335989,RV Uthappa,43,36
335989,S Badrinath,2,1
335989,SK Raina,53,37
335989,SM Pollock,17,15
335989,ST Jayasuriya,20,11
335990,A Symonds,117,53
335990,AC Gilchrist,13,9
335990,AS Yadav,16,9
335990,D Salunkhe,1,1
335990,GC Smith,71,45
335990,Kamran Akmal,12,9
335990,M Kaif,34,16
335990,Pankaj Singh,4,3
335990,RA Jadeja,1,3
335990,RG Sharma,36,30
335990,SK Warne,22,9
335990,SR Watson,4,6
335990,Shahid Afridi,10,4
335990,VVS Laxman,16,16
335990,YK Pathan,61,28
335991,A Nehra,2,10
335991,AM Nayar,2,3
335991,B Lee,16,8
335991,DJ Bravo,23,21
335991,DPMD Jayawardene,12,7
335991,DS Kulkarni,2,16
335991,Harbhajan Singh,0,1
335991,IK Pathan,6,3
335991,K Goel,18,21
335991,KC Sangakkara,94,56
335991,L Ronchi,11,8
335991,MA Khote,8,7
335991,PP Chawla,0,1
335991,RR Sarwan,7,9
335991,RV Uthappa,21,18
335991,S Sohal,0,4
335991,S Sreesanth,0,1
335991,SM Pollock,22,21
335991,SS Tiwary,17,10
335991,ST Jayasuriya,1,7
