match_id,bowler,runs_bowler,bowler_wicket,balls_bowled
335982,AA Noffke,40,1,24
335982,AB Agarkar,25,3,24
335982,AB Dinda,9,2,18
335982,CL White,24,0,6
335982,I Sharma,7,1,18
335982,JH Kallis,48,1,24
335982,LR Shukla,12,1,7
335982,P Kumar,38,0,24
335982,SB Joshi,26,0,18
335982,SC Ganguly,21,2,24
335982,Z Khan,38,1,24
335983,B Lee,35,1,24
335983,IK Pathan,47,2,24
335983,JDP Oram,37,0,24
335983,JR Hopes,53,1,24
335983,Joginder Sharma,47,1,24
335983,K Goel,25,0,12
335983,M Muralitharan,33,1,24
335983,MS Gony,42,1,24
335983,P Amarnath,42,1,24
335983,PP Chawla,19,0,6
335983,S Sreesanth,35,0,18
335983,WA Mota,24,1,12
335984,B Geeves,41,0,24
335984,D Salunkhe,11,0,6
335984,DL Vettori,35,1,24
335984,GD McGrath,21,1,24
335984,MF Maharoof,11,2,24
335984,MM Patel,25,0,18
335984,R Bhatia,17,2,24
335984,SK Trivedi,32,0,18
335984,SK Warne,16,0,12
335984,SR Watson,31,1,24
335984,YK Pathan,17,0,13
335985,A Nehra,45,1,24
335985,AM Nayar,10,0,6
335985,B Akhil,17,2,18
335985,DS Kulkarni,19,1,16
335985,Harbhajan Singh,36,2,24
335985,JH Kallis,43,0,18
335985,P Kumar,29,1,24
335985,R Vinay Kumar,41,0,24
335985,SB Joshi,10,0,12
335985,SM Pollock,17,0,24
335985,ST Jayasuriya,39,1,24
335985,Z Khan,17,2,24
335986,A Symonds,20,0,12
335986,AB Agarkar,19,2,12
335986,AB Dinda,18,1,18
335986,DJ Hussey,35,1,18
335986,I Sharma,9,1,18
335986,M Kartik,17,3,22
335986,Mohammad Hafeez,8,1,24
335986,PP Ojha,18,2,24
335986,RP Singh,15,1,18
335986,SB Bangar,19,0,18
335986,SB Styris,19,0,24
335986,WPUJC Vaas,9,2,18
335987,B Lee,35,1,24
335987,D Salunkhe,21,1,11
335987,IK Pathan,21,1,24
335987,JR Hopes,33,1,24
335987,MM Patel,36,1,24
335987,PP Chawla,27,0,12
335987,Pankaj Singh,12,0,6
335987,S Sreesanth,38,1,19
335987,SK Trivedi,25,2,24
335987,SK Warne,19,3,24
335987,SR Watson,39,0,24
335987,WA Mota,12,0,6
335987,YK Pathan,13,0,6
335988,A Symonds,35,0,12
335988,GD McGrath,22,0,24
335988,MF Maharoof,36,2,24
335988,Mohammad Asif,19,2,24
335988,PP Ojha,7,0,6
335988,R Bhatia,27,2,24
335988,RP Singh,27,1,18
335988,SB Bangar,30,0,12
335988,Shahid Afridi,17,0,12
335988,VY Mahesh,35,1,24
335988,WPUJC Vaas,22,0,18
335989,A Nehra,35,1,24
335989,AM Nayar,14,0,6
335989,DJ Bravo,36,0,18
335989,DS Kulkarni,25,1,18
335989,Harbhajan Singh,14,0,12
335989,JDP Oram,53,0,24
335989,Joginder Sharma,29,2,24
335989,M Muralitharan,40,2,24
335989,MA Khote,29,2,18
335989,MS Gony,18,1,24
335989,P Amarnath,57,1,24
335989,SM Pollock,32,0,18
335989,VS Yeligati,16,0,6
335990,A Symonds,46,0,17
335990,D Kalyankrishna,30,1,18
335990,D Salunkhe,9,0,6
335990,MM Patel,55,0,24
335990,PP Ojha,23,0,12
335990,Pankaj Singh,14,0,12
335990,RP Singh,44,1,24
335990,SK Trivedi,37,0,18
335990,SK Warne,47,2,24
335990,SR Watson,32,1,24
335990,Shahid Afridi,28,3,24
335990,WPUJC Vaas,42,1,24
335990,YK Pathan,20,2,12
335991,A Nehra,22,2,18
335991,B Lee,9,1,24
335991,DJ Bravo,27,0,18
335991,DS Kulkarni,37,2,24
335991,Harbhajan Singh,32,3,24
335991,IK Pathan,19,2,24
335991,MA Khote,22,0,12
335991,PP Chawla,16,2,24
335991,S Sreesanth,31,2,24
335991,SM Pollock,40,1,24
335991,VRV Singh,40,1,24
335992,A Kumble,22,0,24
335992,JH Kallis,7,0,6
335992,MM Patel,20,2,18
335992,P Kumar,42,1,18
335992,R Vinay Kumar,15,0,12
335992,SB Joshi,27,1,19
335992,SK Trivedi,29,1,24
335992,SK Warne,23,1,24
335992,SR Watson,20,2,24
335992,Sohail Tanvir,31,0,24
335992,YK Pathan,10,0,6
335992,Z Khan,24,1,24
335993,AB Agarkar,19,1,18
335993,AB Dinda,25,0,18
335993,DJ Hussey,10,0,6
335993,I Sharma,26,0,18
335993,JDP Oram,32,3,24
335993,Joginder Sharma,32,1,24
335993,LR Shukla,18,0,12
335993,M Kartik,33,0,18
335993,M Muralitharan,12,0,24
335993,MS Gony,40,2,24
335993,Mohammad Hafeez,16,0,12
335993,P Amarnath,29,2,24
335994,A Nehra,19,0,12
335994,AM Nayar,22,0,6
335994,D Kalyankrishna,23,0,12
335994,DJ Bravo,31,0,13
335994,DNT Zoysa,30,1,24
335994,DS Kulkarni,8,0,6
335994,PP Ojha,14,0,12
335994,RP Singh,15,2,24
335994,SB Bangar,34,2,24
335994,SD Chitnis,20,0,12
335994,SM Pollock,33,0,12
335994,ST Jayasuriya,17,0,12
335994,Shahid Afridi,32,2,24
335995,B Lee,33,1,24
335995,GD McGrath,29,1,24
335995,IK Pathan,26,2,24
335995,MF Maharoof,31,0,18
335995,Mohammad Asif,39,2,24
335995,PP Chawla,29,0,24
335995,R Bhatia,5,0,6
335995,S Sreesanth,25,0,12
335995,Shoaib Malik,32,1,21
335995,VRV Singh,29,3,24
335995,VY Mahesh,23,1,24
335995,Yuvraj Singh,11,1,12
335996,B Akhil,34,0,24
335996,DW Steyn,40,0,24
335996,JA Morkel,38,1,24
335996,JDP Oram,27,0,24
335996,JH Kallis,36,0,24
335996,Joginder Sharma,27,2,22
335996,MS Gony,34,3,24
335996,P Amarnath,38,2,24
335996,P Kumar,29,1,24
335996,Z Khan,38,3,24
335997,A Nehra,9,0,6
335997,AB Agarkar,23,1,24
335997,AB Dinda,12,1,24
335997,CRD Fernando,41,1,24
335997,DJ Bravo,25,1,24
335997,DS Kulkarni,15,0,18
335997,I Sharma,33,1,22
335997,LR Shukla,11,0,6
335997,M Kartik,24,0,18
335997,Mohammad Hafeez,16,0,6
335997,SC Ganguly,14,0,12
335997,SM Pollock,27,2,24
335997,ST Jayasuriya,14,3,24
335998,DL Vettori,19,1,24
335998,DW Steyn,29,1,24
335998,GD McGrath,29,4,24
335998,JH Kallis,39,2,24
335998,Mohammad Asif,42,0,24
335998,P Kumar,24,0,24
335998,R Bhatia,14,0,6
335998,R Vinay Kumar,25,0,12
335998,SB Joshi,19,0,6
335998,Shoaib Malik,8,0,6
335998,V Kohli,11,0,6
335998,V Sehwag,30,0,12
335998,VY Mahesh,28,0,24
335998,Z Khan,42,1,24
335999,D Kalyankrishna,34,1,18
335999,DNT Zoysa,32,1,24
335999,Gagandeep Singh,37,1,24
335999,IK Pathan,30,2,24
335999,PP Chawla,28,3,24
335999,RP Singh,36,0,23
335999,S Sreesanth,33,1,24
335999,SB Bangar,26,0,24
335999,Shahid Afridi,28,0,18
335999,VRV Singh,34,0,24
335999,Y Venugopal Rao,9,0,6
336000,AB Agarkar,46,1,24
336000,AB Dinda,30,0,24
336000,DJ Hussey,26,0,12
336000,I Sharma,26,1,24
336000,LR Shukla,16,1,6
336000,MM Patel,29,0,24
336000,SC Ganguly,14,0,6
336000,SK Trivedi,31,2,24
336000,SK Warne,20,1,12
336000,SR Watson,22,2,19
336000,Sohail Tanvir,30,2,24
336000,Umar Gul,31,3,24
336000,YK Pathan,14,0,12
336001,GD McGrath,21,1,24
336001,JA Morkel,40,0,24
336001,Joginder Sharma,35,1,18
336001,M Muralitharan,27,0,24
336001,M Ntini,29,0,24
336001,MS Gony,39,1,24
336001,Mohammad Asif,34,1,24
336001,PJ Sangwan,40,0,24
336001,R Bhatia,11,1,6
336001,Shoaib Malik,11,0,6
336001,V Sehwag,21,1,12
336001,VY Mahesh,31,1,24
336002,A Kumble,33,1,24
336002,B Akhil,39,0,18
336002,DB Ravi Teja,19,1,12
336002,DP Vijaykumar,29,0,24
336002,DW Steyn,19,2,24
336002,JH Kallis,19,0,8
336002,LPC Silva,21,0,6
336002,R Vinay Kumar,27,3,24
336002,RP Singh,15,0,18
336002,SB Bangar,30,1,24
336002,V Kohli,25,2,22
336002,WPUJC Vaas,36,1,24
336002,Y Venugopal Rao,18,0,6
336003,AB Agarkar,26,0,18
336003,AB Dinda,24,1,18
336003,DJ Hussey,23,1,18
336003,Gagandeep Singh,43,1,24
336003,I Sharma,41,0,24
336003,IK Pathan,18,2,24
336003,JR Hopes,35,0,18
336003,Mohammad Hafeez,28,1,18
336003,PP Chawla,16,0,6
336003,S Sreesanth,25,2,24
336003,Umar Gul,27,2,24
336003,VRV Singh,31,1,24
336004,A Nehra,25,3,24
336004,DJ Bravo,27,1,18
336004,DJ Thornely,15,1,12
336004,DS Kulkarni,18,2,17
336004,GD McGrath,26,0,24
336004,Mohammad Asif,46,1,24
336004,PJ Sangwan,21,1,24
336004,R Bhatia,22,1,12
336004,RR Raje,13,0,12
336004,SM Pollock,16,2,24
336004,ST Jayasuriya,16,0,6
336004,Shoaib Malik,6,1,6
336004,V Sehwag,2,1,6
336004,VY Mahesh,33,3,24
336005,JA Morkel,10,0,6
336005,M Muralitharan,20,1,24
336005,M Ntini,17,0,18
336005,MM Patel,16,2,24
336005,MS Gony,25,0,18
336005,S Vidyut,22,1,12
336005,SK Raina,10,0,8
336005,SK Trivedi,17,0,12
336005,SK Warne,29,1,18
336005,SR Watson,19,1,24
336005,Sohail Tanvir,14,6,24
336005,YK Pathan,9,0,12
336006,A Kumble,36,0,20
336006,DW Steyn,16,0,24
336006,Gagandeep Singh,28,0,18
336006,IK Pathan,13,1,20
336006,JH Kallis,14,0,18
336006,JR Hopes,10,0,6
336006,P Kumar,22,2,24
336006,PP Chawla,25,3,24
336006,S Sreesanth,16,2,24
336006,VRV Singh,33,1,24
336006,Z Khan,29,2,24
336007,DP Vijaykumar,17,1,18
336007,JA Morkel,26,1,24
336007,Joginder Sharma,45,0,18
336007,M Muralitharan,24,1,24
336007,M Ntini,37,0,24
336007,MS Gony,15,1,18
336007,PP Ojha,22,1,24
336007,RP Singh,12,2,18
336007,SB Bangar,36,1,24
336007,SB Styris,24,1,18
336007,Shahid Afridi,27,1,18
336008,A Nehra,13,3,18
336008,DJ Bravo,12,2,14
336008,DS Kulkarni,21,2,18
336008,MM Patel,21,0,18
336008,RR Raje,19,2,18
336008,SK Trivedi,23,0,18
336008,SK Warne,19,1,12
336008,SM Pollock,19,1,18
336008,SR Watson,26,2,24
336008,ST Jayasuriya,17,0,12
336008,Sohail Tanvir,13,0,19
336009,CK Kapugedera,15,0,6
336009,GD McGrath,23,0,24
336009,JA Morkel,35,2,24
336009,L Balaji,35,2,24
336009,M Muralitharan,25,0,24
336009,MS Gony,36,1,24
336009,Mohammad Asif,33,1,24
336009,P Amarnath,35,0,18
336009,PJ Sangwan,29,2,24
336009,Shoaib Malik,28,0,12
336009,V Sehwag,30,0,12
336009,VY Mahesh,40,2,24
336010,A Kumble,21,0,18
336010,AB Dinda,20,0,18
336010,DW Steyn,27,3,24
336010,I Sharma,25,1,24
336010,LR Shukla,15,0,6
336010,M Kartik,24,0,12
336010,P Kumar,36,1,18
336010,R Vinay Kumar,15,0,18
336010,SC Ganguly,7,1,18
