match_id,date,innings,batting_team,bowling_team,runs_target,match_won_by,venue,city,day,month,year,season,result_type,method,stage,team_runs,team_balls,team_wicket,first_to_bat
335982,2008-04-18,1,Kolkata Knight Riders,Royal Challengers Bengaluru,,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,normal,,Unknown,1,1,0,Kolkata Knight Riders
335983,2008-04-19,1,Chennai Super Kings,Punjab Kings,,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,19,4,2008,2007/08,normal,,Unknown,0,1,0,Chennai Super Kings
335984,2008-04-19,1,Rajasthan Royals,Delhi Capitals,,Delhi Capitals,Feroz Shah Kotla,Delhi,19,4,2008,2007/08,normal,,Unknown,0,1,0,Rajasthan Royals
335985,2008-04-20,1,Mumbai Indians,Royal Challengers Bengaluru,,Royal Challengers Bengaluru,Wankhede Stadium,Mumbai,20,4,2008,2007/08,normal,,Unknown,0,1,0,Mumbai Indians
335986,2008-04-20,1,Sunrisers Hyderabad,Kolkata Knight Riders,,Kolkata Knight Riders,Eden Gardens,Kolkata,20,4,2008,2007/08,normal,,Unknown,1,1,0,Sunrisers Hyderabad
335987,2008-04-21,1,Punjab Kings,Rajasthan Royals,,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,21,4,2008,2007/08,normal,,Unknown,0,1,0,Punjab Kings
335988,2008-04-22,1,Sunrisers Hyderabad,Delhi Capitals,,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,22,4,2008,2007/08,normal,,Unknown,0,1,0,Sunrisers Hyderabad
335989,2008-04-23,1,Chennai Super Kings,Mumbai Indians,,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,23,4,2008,2007/08,normal,,Unknown,1,0,0,Chennai Super Kings
335990,2008-04-24,1,Sunrisers Hyderabad,Rajasthan Royals,,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,24,4,2008,2007/08,normal,,Unknown,0,1,0,Sunrisers Hyderabad
335991,2008-04-25,1,Punjab Kings,Mumbai Indians,,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,25,4,2008,2007/08,normal,,Unknown,0,1,0,Punjab Kings
