match_id,innings,batting_team,bowling_team,first_to_bat,runs_target,match_won_by,team_runs,team_balls,team_wicket
335982,1,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,,Kolkata Knight Riders,222,120,3
335982,2,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,223.0,Kolkata Knight Riders,82,91,10
335983,1,Chennai Super Kings,Punjab Kings,Chennai Super Kings,,Chennai Super Kings,240,120,5
335983,2,Punjab Kings,Chennai Super Kings,Chennai Super Kings,241.0,Chennai Super Kings,207,120,4
335984,1,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,,Delhi Capitals,129,120,8
335984,2,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,130.0,Delhi Capitals,132,91,1
335985,1,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,,Royal Challengers Bengaluru,165,120,6
335985,2,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,166.0,Royal Challengers Bengaluru,166,118,5
335986,1,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,,Kolkata Knight Riders,110,112,10
335986,2,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,111.0,Kolkata Knight Riders,112,114,5
335987,1,Punjab Kings,Rajasthan Royals,Punjab Kings,,Rajasthan Royals,166,119,8
335987,2,Rajasthan Royals,Punjab Kings,Punjab Kings,167.0,Rajasthan Royals,168,109,4
335988,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,,Delhi Capitals,142,120,8
335988,2,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,143.0,Delhi Capitals,143,78,1
335989,1,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,,Chennai Super Kings,208,120,5
335989,2,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,209.0,Chennai Super Kings,202,120,7
335990,1,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,,Rajasthan Royals,214,120,5
335990,2,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,215.0,Rajasthan Royals,217,119,7
335991,1,Punjab Kings,Mumbai Indians,Punjab Kings,,Punjab Kings,182,120,10
335991,2,Mumbai Indians,Punjab Kings,Punjab Kings,183.0,Punjab Kings,116,120,9
335992,1,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,,Rajasthan Royals,135,120,8
335992,2,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,136.0,Rajasthan Royals,138,103,3
